id;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1
425;Je možné uznať predmet z inej univerzity?;Dajú sa uznať predmety z inej vysokej školy?;Ja možné dostať kredity za predmety po prestupe z inej univerzity?;Dá sa uznať predmet pri prestupe z vysokej školy?;Ja možné dostať kredity za predmety po prestupe z inej univerzity?;po súhlase s vyučujúcimi daného predmetu áno
426;Je nejaká povinnosť minimálneho počtu kreditov za daný semester?;Minimálny počet kreditov za semester?;Musím mať počet kreditov počas semestra?;Minimálne množstvo kreditov?;Minimálny počet kreditov za semester?;Žiadna hranica kreditov za semester nie je.
427;je možné požiadať o úľavu školného?;Dá sa znížiť výška školného?;je možné získať úľavu zo školného?;Dá sa zmenšiť suma školného?;je možné získať úľavu zo školného?;áno, ak má študent na to sociálne, prospechové alebo iné dôvody ktoré sú hodné zreteľa, je to možné
428;je možné požiadať o komisionálne preskúšanie z predmetu?;Dá sa robiť komisionálne presmkúšanie z predmetu?;Môžem požiadať o komisionálky z predmetu?;Je možná komisionálna skúška z predmetu?;Dá sa robiť komisionálne presmkúšanie z predmetu?;áno ak sa nezúčastnil 3. a teda poslednýkrát na skúške z predmetu
429;Koľko kreditov potrebujem na bakalárske štúdium?;Počet kreditov za bakalárske štúdium?;Aký počet kreditov je nutný za bakalársky stupeň?;Koľko kreditov treba na prvý stupeň?;Aký počet kreditov je potrebný pre 1. stupeň?;Potrebujete aspoň 180 kreditov.
430;Koľko potrebujem kreditov pre ukončenie inžinierskeho štúdia? ;Počet kreditov za inžinierske štúdium?;Aký počet kreditov je nutný za inžiniersky stupeň?;Koľko kreditov treba na druhý stupeň?;Aký počet kreditov je potrebný pre 2. stupeň?;Potrebujete 120 kreditov minimálne.
431;Je potrebné prijímacie konanie na inžinierske štúdium ak som študoval na tej istej fakulte na bakalárskom stupni?;Musím robiť prijímacie skúšky ak som študoval na rovnakej fakulte v prvom stupni?;Sú nutné skúšky po bakalárovi?;Pokračujem v štúdiu, je potrebné prijímacie konanie?;Sú nutné skúšky po bakalárovi?;Ak máte urobené predmety, ktoré nájdete na stránke fakulty pre váš odbor, budete prijatý bez prijímacieho konania.
432;Koľko hodín musím mať odrobených pre uznanie praxe?;Koľko hodín praxe musím mať?;Koľko hodín musím odrobiť pre uznanie praxe?;Koľko hodín praxe musím absolvovať?;Aký je minimálny počet hodín pre uznanie praxe?;Musíte mať odrobených aspoň 150 hodín.
433;Kedy môžem prísť na študijný referát?;Kedy je otvorený študijný referát?;V akých hodinách môžem navštíviť štúdijné oddelenie?;Kedy je otvorené štúdijné oddelenie?;Kedy sa dá prísť na štúdijné oddelenie?;Študijný referát je otvorený od 7:30 do 13:00.
434;Kedy sú v novej menze raňajky?;V akom čase sa podávajú v novej menze raňajky?;Kedy môžem prísť do novej menzy na raňajky? ;Ako sú v novej menze raňajky?;Kedy podávajú v novej menze raňajky?;Raňajky sú v čase od 7:00 do 10:00.
435;Kedy je v novej menze obed?;V akom čase sa podávajú v novej menze obed?;Kedy môžem prísť do novej menzy na obed? ;Ako sú v novej menze obed?;Kedy podávajú v novej menze obed?;Obedy sa podávajú od 10:30 do 14:00.
436;Kedy je v novej menze večera?;V akom čase sa podávajú v novej menze večeru?;Kedy môžem prísť do novej menzy na večeru? ;Ako sú v novej menze večere?;Kedy podávajú v novej menze večeru?;Večera je v čase od 15:00 do 18:00 hod.
437;Môžem si dať obed na FRI?;Je možné obedovať na fri?;Ako sa dá obedovať na fakulte riadenia a informatiky?;Je potrebné si na fakulte objednať obed?;Ako sa naobedujem na fakulte?;Na FRI je možné jesť len na objednávku deň vopred.
438;"Koľko stojí školné za medziročník pri prekročení štandardnej dĺžky štúdia na bakalárskom stupni?";Koľko musím zaplatiť školné pri rekročení štandardnej dĺžky štúdia na bakalárskom stupni?;Koľko sa platí školné pri medziročníku na prvom stupni?;Koľko stojí medziročník na bakalárskom stupni?;Koľko sa platí pri prekročení štúdia na bakalárovi?;Školné je 550 eur.
439;"Koľko stojí školné za medziročník pri prekročení štandardnej dĺžky štúdia na inžinierskom stupni?";Koľko musím zaplatiť školné pri rekročení štandardnej dĺžky štúdia na inžinierskom stupni?;Koľko sa platí školné pri medziročníku na inžinierskom stupni?;Koľko stojí medziročník na druhom stupni?;Koľko sa platí pri prekročení štúdia na inžinierovi?;Suma školného je 550 eur.
440;Som prijatý na štúdium ak mi boli odpustené prijímacie skúšky?;Budem prijatý ak splnam podmienky pre odpustenie prijimacieho konania?;Som automaticky prijatý ak nemusím robiť prijímacie akúšky?;;;Ak vám bolo odpustené prijímacie skúšky tak ste prijatý.
441;Aké je meno vedúceho katedry informačných sietí ?;Ako sa volá vedúci katedry informačných sietí ?;Kto je vedúci katedry informačných sietí ?;Meno a priezvisko vedúceho katedry informačných sietí ?;Aké má priezvisko vedúci katedry informačných sietí ?;Vedúci informačných sietí je Pavel Segeč
442;Aké je meno vedúceho katedry informatiky ?;Ako sa volá vedúci katedry informatiky ?;Kto je vedúci katedry informatiky ?;Meno a priezvisko vedúceho katedry informatiky ?;Aké má priezvisko vedúci katedry informatiky ?;Vedúci informatiky je Vitaly Levashenko
443;Aké je meno vedúceho katedry manažérskych teórií ?;Ako sa volá vedúci katedry manažérskych teórií ?;Kto je vedúci katedry manažérskych teórií ?;Meno a priezvisko vedúceho katedry manažérskych teórií ?;Aké má priezvisko vedúci katedry manažérskych teórií ?;Vedúci manažérskych teórií je Milan Kubina
444;Aké je meno vedúceho katedry makro a mikroekonomiky ?;Ako sa volá vedúci katedry makro a mikroekonomiky ?;Kto je vedúci katedry makro a mikroekonomiky ?;Meno a priezvisko vedúceho katedry makro a mikroekonomiky ?;Aké má priezvisko vedúci katedry makro a mikroekonomiky ?;Vedúci makro a mikroekonomiky je Mária Ďurišová
445;Aké je meno vedúceho katedry matematických metód a operačnej analýzy ?;Ako sa volá vedúci katedry matematických metód a operačnej analýzy ?;Kto je vedúci katedry matematických metód a operačnej analýzy ?;Meno a priezvisko vedúceho katedry matematických metód a operačnej analýzy ?;Aké má priezvisko vedúci katedry matematických metód a operačnej analýzy ?;Vedúci matematických metód a operačnej analýzy je Ľudmila Jánošíková
446;Aké je meno vedúceho katedry softvérových technológií ?;Ako sa volá vedúci katedry softvérových technológií ?;Kto je vedúci katedry softvérových technológií ?;Meno a priezvisko vedúceho katedry softvérových technológií ?;Aké má priezvisko vedúci katedry softvérových technológií ?;Vedúci softvérových technológií je Viliam Tavač
447;Aké je meno vedúceho katedry technickej kybernetiky ?;Ako sa volá vedúci katedry technickej kybernetiky ?;Kto je vedúci katedry technickej kybernetiky ?;Meno a priezvisko vedúceho katedry technickej kybernetiky ?;Aké má priezvisko vedúci katedry technickej kybernetiky ?;Vedúci technickej kybernetiky je Peter Ševčík
448;V akej miestnosti je vedúci katedry informačných sietí ?;Kde nájdem vedúceho katedry informačných sietí ?;Kde sa nachádza vedúci katedry informačných sietí ?;Kde má kanceláriu vedúci katedry informačných sietí ?;V ktorej miestnosti má kanceláriu vedúci katedry informačných sietí ?;Vedúci informačných sietí je v RB354
449;V akej miestnosti je vedúci katedry informatiky ?;Kde nájdem vedúceho katedry informatiky ?;Kde sa nachádza vedúci katedry informatiky ?;Kde má kanceláriu vedúci katedry informatiky ?;V ktorej miestnosti má kanceláriu vedúci katedry informatiky ?;Vedúci informatiky je v RA204
450;V akej miestnosti je vedúci katedry manažérskych teórií ?;Kde nájdem vedúceho katedry manažérskych teórií ?;Kde sa nachádza vedúci katedry manažérskych teórií ?;Kde má kanceláriu vedúci katedry manažérskych teórií ?;V ktorej miestnosti má kanceláriu vedúci katedry manažérskych teórií ?;Vedúci manažérskych teórií je v RB256
451;V akej miestnosti je vedúci katedry makro a mikroekonomiky ?;Kde nájdem vedúceho katedry makro a mikroekonomiky ?;Kde sa nachádza vedúci katedry makro a mikroekonomiky ?;Kde má kanceláriu vedúci katedry makro a mikroekonomiky ?;V ktorej miestnosti má kanceláriu vedúci katedry makro a mikroekonomiky ?;"Vedúci makro a mikroekonomiky je v 	RB204"
452;V akej miestnosti je vedúci katedry matematických metód a operačnej analýzy ?;Kde nájdem vedúceho katedry matematických metód a operačnej analýzy ?;Kde sa nachádza vedúci katedry matematických metód a operačnej analýzy ?;Kde má kanceláriu vedúci katedry matematických metód a operačnej analýzy ?;V ktorej miestnosti má kanceláriu vedúci katedry matematických metód a operačnej analýzy ?;Vedúci matematických metód a operačnej analýzy je v RA226
453;V akej miestnosti je vedúci katedry softvérových technológií ?;Kde nájdem vedúceho katedry softvérových technológií ?;Kde sa nachádza vedúci katedry softvérových technológií ?;Kde má kanceláriu vedúci katedry softvérových technológií ?;V ktorej miestnosti má kanceláriu vedúci katedry softvérových technológií ?;Vedúci softvérových technológií je v RA120
454;V akej miestnosti je vedúci katedry technickej kybernetiky ?;Kde nájdem vedúceho katedry technickej kybernetiky ?;Kde sa nachádza vedúci katedry technickej kybernetiky ?;Kde má kanceláriu vedúci katedry technickej kybernetiky ?;V ktorej miestnosti má kanceláriu vedúci katedry technickej kybernetiky ?;Vedúci technickej kybernetiky je v RB111
455;Aká je webová stránka katedry informačných sietí ?;Na akom linku nájdem web katedry informačných sietí ?;Má katedra svoju webovú stránku informačných sietí ?;Aká je internetová adresa katedry informačných sietí ?;Akú webstránku má katedra informačných sietí ?;Web informačných sietí: http://www.kis.fri.uniza.sk
456;Aká je webová stránka katedry informatiky ?;Na akom linku nájdem web katedry informatiky ?;Má katedra svoju webovú stránku informatiky ?;Aká je internetová adresa katedry informatiky ?;Akú webstránku má katedra informatiky ?;Web informatiky: https://ki.fri.uniza.sk
457;Aká je webová stránka katedry manažérskych teórií ?;Na akom linku nájdem web katedry manažérskych teórií ?;Má katedra svoju webovú stránku manažérskych teórií ?;Aká je internetová adresa katedry manažérskych teórií ?;Akú webstránku má katedra manažérskych teórií ?;Web manažérskych teórií: http://kmnt.fri.uniza.sk
458;Aká je webová stránka katedry makro a mikroekonomiky ?;Na akom linku nájdem web katedry makro a mikroekonomiky ?;Má katedra svoju webovú stránku makro a mikroekonomiky ?;Aká je internetová adresa katedry makro a mikroekonomiky ?;Akú webstránku má katedra makro a mikroekonomiky ?;Web makro a mikroekonomiky: http://kmme.fri.uniza.sk/
459;Aká je webová stránka katedry matematických metód a operačnej analýzy ?;Na akom linku nájdem web katedry matematických metód a operačnej analýzy ?;Má katedra svoju webovú stránku matematických metód a operačnej analýzy ?;Aká je internetová adresa katedry matematických metód a operačnej analýzy ?;Akú webstránku má katedra matematických metód a operačnej analýzy ?;Web matematických metód a operačnej analýzy: http://frdsa.fri.uniza.sk/
460;Aká je webová stránka katedry softvérových technológií ?;Na akom linku nájdem web katedry softvérových technológií ?;Má katedra svoju webovú stránku softvérových technológií ?;Aká je internetová adresa katedry softvérových technológií ?;Akú webstránku má katedra softvérových technológií ?;Web softvérových technológií: http://www.fri.uniza.sk/pracoviska/k-s-t
461;Aká je webová stránka katedry technickej kybernetiky ?;Na akom linku nájdem web katedry technickej kybernetiky ?;Má katedra svoju webovú stránku technickej kybernetiky ?;Aká je internetová adresa katedry technickej kybernetiky ?;Akú webstránku má katedra technickej kybernetiky ?;Web technickej kybernetiky: http://frtk.fri.uniza.sk/
462;V akej miestnosti je Lukáš Čechovič ?;Kde nájdem Lukáš Čechovič ?;Kde sa nachádza Lukáš Čechovič ?;Kde má kanceláriu Lukáš Čechovič ?;V ktorej miestnosti má kanceláriu Lukáš Čechovič ?;Lukáš Čechovič miestnost: RB157
463;V akej miestnosti je Viera Černeková ?;Kde nájdem Viera Černeková ?;Kde sa nachádza Viera Černeková ?;Kde má kanceláriu Viera Černeková ?;V ktorej miestnosti má kanceláriu Viera Černeková ?;Viera Černeková miestnost: RB110
464;V akej miestnosti je Miroslav Chochul ?;Kde nájdem Miroslav Chochul ?;Kde sa nachádza Miroslav Chochul ?;Kde má kanceláriu Miroslav Chochul ?;V ktorej miestnosti má kanceláriu Miroslav Chochul ?;Miroslav Chochul miestnost: RB152
465;V akej miestnosti je Lukáš Formanek ?;Kde nájdem Lukáš Formanek ?;Kde sa nachádza Lukáš Formanek ?;Kde má kanceláriu Lukáš Formanek ?;V ktorej miestnosti má kanceláriu Lukáš Formanek ?;Lukáš Formanek miestnost: RB154
466;V akej miestnosti je Michal Hodoň ?;Kde nájdem Michal Hodoň ?;Kde sa nachádza Michal Hodoň ?;Kde má kanceláriu Michal Hodoň ?;V ktorej miestnosti má kanceláriu Michal Hodoň ?;Michal Hodoň miestnost: RB102
467;V akej miestnosti je Martin Húdik ?;Kde nájdem Martin Húdik ?;Kde sa nachádza Martin Húdik ?;Kde má kanceláriu Martin Húdik ?;V ktorej miestnosti má kanceláriu Martin Húdik ?;Martin Húdik miestnost: RB153
468;V akej miestnosti je Adam Jaroš ?;Kde nájdem Adam Jaroš ?;Kde sa nachádza Adam Jaroš ?;Kde má kanceláriu Adam Jaroš ?;V ktorej miestnosti má kanceláriu Adam Jaroš ?;Adam Jaroš miestnost: RB155
469;V akej miestnosti je Ján Kapitulík ?;Kde nájdem Ján Kapitulík ?;Kde sa nachádza Ján Kapitulík ?;Kde má kanceláriu Ján Kapitulík ?;V ktorej miestnosti má kanceláriu Ján Kapitulík ?;Ján Kapitulík miestnost: RB159
470;V akej miestnosti je Ondrej Karpiš ?;Kde nájdem Ondrej Karpiš ?;Kde sa nachádza Ondrej Karpiš ?;Kde má kanceláriu Ondrej Karpiš ?;V ktorej miestnosti má kanceláriu Ondrej Karpiš ?;Ondrej Karpiš miestnost: RB156
471;V akej miestnosti je Juraj Miček ?;Kde nájdem Juraj Miček ?;Kde sa nachádza Juraj Miček ?;Kde má kanceláriu Juraj Miček ?;V ktorej miestnosti má kanceláriu Juraj Miček ?;Juraj Miček miestnost: RB107
472;V akej miestnosti je Jana Milanová ?;Kde nájdem Jana Milanová ?;Kde sa nachádza Jana Milanová ?;Kde má kanceláriu Jana Milanová ?;V ktorej miestnosti má kanceláriu Jana Milanová ?;Jana Milanová miestnost: RB153
473;V akej miestnosti je Veronika Olešnaníková ?;Kde nájdem Veronika Olešnaníková ?;Kde sa nachádza Veronika Olešnaníková ?;Kde má kanceláriu Veronika Olešnaníková ?;V ktorej miestnosti má kanceláriu Veronika Olešnaníková ?;Veronika Olešnaníková miestnost: RB154
474;V akej miestnosti je Peter Šarafín ?;Kde nájdem Peter Šarafín ?;Kde sa nachádza Peter Šarafín ?;Kde má kanceláriu Peter Šarafín ?;V ktorej miestnosti má kanceláriu Peter Šarafín ?;Peter Šarafín miestnost: RB154
475;V akej miestnosti je Peter Ševčík ?;Kde nájdem Peter Ševčík ?;Kde sa nachádza Peter Ševčík ?;Kde má kanceláriu Peter Ševčík ?;V ktorej miestnosti má kanceláriu Peter Ševčík ?;Peter Ševčík miestnost: RB111
476;V akej miestnosti je Róbert Žalman ?;Kde nájdem Róbert Žalman ?;Kde sa nachádza Róbert Žalman ?;Kde má kanceláriu Róbert Žalman ?;V ktorej miestnosti má kanceláriu Róbert Žalman ?;Róbert Žalman miestnost: RB154
477;V akej miestnosti je Katarína Bachratá ?;Kde nájdem Katarína Bachratá ?;Kde sa nachádza Katarína Bachratá ?;Kde má kanceláriu Katarína Bachratá ?;V ktorej miestnosti má kanceláriu Katarína Bachratá ?;Katarína Bachratá miestnost: RA115
478;V akej miestnosti je Hynek Bachratý ?;Kde nájdem Hynek Bachratý ?;Kde sa nachádza Hynek Bachratý ?;Kde má kanceláriu Hynek Bachratý ?;V ktorej miestnosti má kanceláriu Hynek Bachratý ?;Hynek Bachratý miestnost: RA116
479;V akej miestnosti je Iveta Belošovičová ?;Kde nájdem Iveta Belošovičová ?;Kde sa nachádza Iveta Belošovičová ?;Kde má kanceláriu Iveta Belošovičová ?;V ktorej miestnosti má kanceláriu Iveta Belošovičová ?;Iveta Belošovičová miestnost: RA119
480;V akej miestnosti je Alžbeta Bohiniková ?;Kde nájdem Alžbeta Bohiniková ?;Kde sa nachádza Alžbeta Bohiniková ?;Kde má kanceláriu Alžbeta Bohiniková ?;V ktorej miestnosti má kanceláriu Alžbeta Bohiniková ?;Alžbeta Bohiniková miestnost: RA316
481;V akej miestnosti je Ivan Cimrák ?;Kde nájdem Ivan Cimrák ?;Kde sa nachádza Ivan Cimrák ?;Kde má kanceláriu Ivan Cimrák ?;V ktorej miestnosti má kanceláriu Ivan Cimrák ?;Ivan Cimrák miestnost: RA314
482;V akej miestnosti je Michal Ďuračík ?;Kde nájdem Michal Ďuračík ?;Kde sa nachádza Michal Ďuračík ?;Kde má kanceláriu Michal Ďuračík ?;V ktorej miestnosti má kanceláriu Michal Ďuračík ?;Michal Ďuračík miestnost: RA113
483;V akej miestnosti je Kristína Ďuračíková ?;Kde nájdem Kristína Ďuračíková ?;Kde sa nachádza Kristína Ďuračíková ?;Kde má kanceláriu Kristína Ďuračíková ?;V ktorej miestnosti má kanceláriu Kristína Ďuračíková ?;Kristína Ďuračíková miestnost: RA124
484;V akej miestnosti je Miroslav Gábor ?;Kde nájdem Miroslav Gábor ?;Kde sa nachádza Miroslav Gábor ?;Kde má kanceláriu Miroslav Gábor ?;V ktorej miestnosti má kanceláriu Miroslav Gábor ?;Miroslav Gábor miestnost: RA117
485;V akej miestnosti je Patrik Hrkút ?;Kde nájdem Patrik Hrkút ?;Kde sa nachádza Patrik Hrkút ?;Kde má kanceláriu Patrik Hrkút ?;V ktorej miestnosti má kanceláriu Patrik Hrkút ?;Patrik Hrkút miestnost: RA113
486;V akej miestnosti je Miroslav Hrnčiar ?;Kde nájdem Miroslav Hrnčiar ?;Kde sa nachádza Miroslav Hrnčiar ?;Kde má kanceláriu Miroslav Hrnčiar ?;V ktorej miestnosti má kanceláriu Miroslav Hrnčiar ?;Miroslav Hrnčiar miestnost: RA123
487;V akej miestnosti je Iveta Jančigová ?;Kde nájdem Iveta Jančigová ?;Kde sa nachádza Iveta Jančigová ?;Kde má kanceláriu Iveta Jančigová ?;V ktorej miestnosti má kanceláriu Iveta Jančigová ?;Iveta Jančigová miestnost: RA124
488;V akej miestnosti je Ján Janech ?;Kde nájdem Ján Janech ?;Kde sa nachádza Ján Janech ?;Kde má kanceláriu Ján Janech ?;V ktorej miestnosti má kanceláriu Ján Janech ?;Ján Janech miestnost: RA114
489;V akej miestnosti je Emil Kršák ?;Kde nájdem Emil Kršák ?;Kde sa nachádza Emil Kršák ?;Kde má kanceláriu Emil Kršák ?;V ktorej miestnosti má kanceláriu Emil Kršák ?;Emil Kršák miestnost: RA104
490;V akej miestnosti je Matej Meško ?;Kde nájdem Matej Meško ?;Kde sa nachádza Matej Meško ?;Kde má kanceláriu Matej Meško ?;V ktorej miestnosti má kanceláriu Matej Meško ?;Matej Meško miestnost: RA124
491;V akej miestnosti je Peter Novotný ?;Kde nájdem Peter Novotný ?;Kde sa nachádza Peter Novotný ?;Kde má kanceláriu Peter Novotný ?;V ktorej miestnosti má kanceláriu Peter Novotný ?;Peter Novotný miestnost: RA116
492;V akej miestnosti je Ján Ružbarský ?;Kde nájdem Ján Ružbarský ?;Kde sa nachádza Ján Ružbarský ?;Kde má kanceláriu Ján Ružbarský ?;V ktorej miestnosti má kanceláriu Ján Ružbarský ?;Ján Ružbarský miestnost: RA115
493;V akej miestnosti je Monika Smiešková ?;Kde nájdem Monika Smiešková ?;Kde sa nachádza Monika Smiešková ?;Kde má kanceláriu Monika Smiešková ?;V ktorej miestnosti má kanceláriu Monika Smiešková ?;Monika Smiešková miestnost: RA315
494;V akej miestnosti je Viliam Tavač. ?;Kde nájdem Viliam Tavač. ?;Kde sa nachádza Viliam Tavač. ?;Kde má kanceláriu Viliam Tavač. ?;V ktorej miestnosti má kanceláriu Viliam Tavač. ?;Viliam Tavač. miestnost: RA120
495;V akej miestnosti je Marek Tavač ?;Kde nájdem Marek Tavač ?;Kde sa nachádza Marek Tavač ?;Kde má kanceláriu Marek Tavač ?;V ktorej miestnosti má kanceláriu Marek Tavač ?;Marek Tavač miestnost: RA114
496;V akej miestnosti je Štefan Toth ?;Kde nájdem Štefan Toth ?;Kde sa nachádza Štefan Toth ?;Kde má kanceláriu Štefan Toth ?;V ktorej miestnosti má kanceláriu Štefan Toth ?;Štefan Toth miestnost: RA124
497;V akej miestnosti je Norbert Adamko ?;Kde nájdem Norbert Adamko ?;Kde sa nachádza Norbert Adamko ?;Kde má kanceláriu Norbert Adamko ?;V ktorej miestnosti má kanceláriu Norbert Adamko ?;Norbert Adamko miestnost: RA218
498;V akej miestnosti je Rudolf Blaško ?;Kde nájdem Rudolf Blaško ?;Kde sa nachádza Rudolf Blaško ?;Kde má kanceláriu Rudolf Blaško ?;V ktorej miestnosti má kanceláriu Rudolf Blaško ?;Rudolf Blaško miestnost: RA306
499;V akej miestnosti je Zuzana Borčinová ?;Kde nájdem Zuzana Borčinová ?;Kde sa nachádza Zuzana Borčinová ?;Kde má kanceláriu Zuzana Borčinová ?;V ktorej miestnosti má kanceláriu Zuzana Borčinová ?;Zuzana Borčinová miestnost: RA304
500;V akej miestnosti je Ľuboš Buzna ?;Kde nájdem Ľuboš Buzna ?;Kde sa nachádza Ľuboš Buzna ?;Kde má kanceláriu Ľuboš Buzna ?;V ktorej miestnosti má kanceláriu Ľuboš Buzna ?;Ľuboš Buzna miestnost: RA214
501;V akej miestnosti je Peter Czimmermann ?;Kde nájdem Peter Czimmermann ?;Kde sa nachádza Peter Czimmermann ?;Kde má kanceláriu Peter Czimmermann ?;V ktorej miestnosti má kanceláriu Peter Czimmermann ?;Peter Czimmermann miestnost: RA303
502;V akej miestnosti je Lýdia Gábrišová ?;Kde nájdem Lýdia Gábrišová ?;Kde sa nachádza Lýdia Gábrišová ?;Kde má kanceláriu Lýdia Gábrišová ?;V ktorej miestnosti má kanceláriu Lýdia Gábrišová ?;Lýdia Gábrišová miestnost: RA305
503;V akej miestnosti je Dalibor Gonda ?;Kde nájdem Dalibor Gonda ?;Kde sa nachádza Dalibor Gonda ?;Kde má kanceláriu Dalibor Gonda ?;V ktorej miestnosti má kanceláriu Dalibor Gonda ?;Dalibor Gonda miestnost: RA216
504;V akej miestnosti je Jaroslav Janáček ?;Kde nájdem Jaroslav Janáček ?;Kde sa nachádza Jaroslav Janáček ?;Kde má kanceláriu Jaroslav Janáček ?;V ktorej miestnosti má kanceláriu Jaroslav Janáček ?;Jaroslav Janáček miestnost: RA215
505;V akej miestnosti je Peter Jankovič ?;Kde nájdem Peter Jankovič ?;Kde sa nachádza Peter Jankovič ?;Kde má kanceláriu Peter Jankovič ?;V ktorej miestnosti má kanceláriu Peter Jankovič ?;Peter Jankovič miestnost: RA224
506;V akej miestnosti je Ľudmila Jánošíková ?;Kde nájdem Ľudmila Jánošíková ?;Kde sa nachádza Ľudmila Jánošíková ?;Kde má kanceláriu Ľudmila Jánošíková ?;V ktorej miestnosti má kanceláriu Ľudmila Jánošíková ?;Ľudmila Jánošíková miestnost: RA226
507;V akej miestnosti je Maroš Janovec ?;Kde nájdem Maroš Janovec ?;Kde sa nachádza Maroš Janovec ?;Kde má kanceláriu Maroš Janovec ?;V ktorej miestnosti má kanceláriu Maroš Janovec ?;Maroš Janovec miestnost: RA219
508;V akej miestnosti je Alžbeta Klaudinyová ?;Kde nájdem Alžbeta Klaudinyová ?;Kde sa nachádza Alžbeta Klaudinyová ?;Kde má kanceláriu Alžbeta Klaudinyová ?;V ktorej miestnosti má kanceláriu Alžbeta Klaudinyová ?;Alžbeta Klaudinyová miestnost: RA307
509;V akej miestnosti je Michal Koháni ?;Kde nájdem Michal Koháni ?;Kde sa nachádza Michal Koháni ?;Kde má kanceláriu Michal Koháni ?;V ktorej miestnosti má kanceláriu Michal Koháni ?;Michal Koháni miestnost: RA224,RA103
510;V akej miestnosti je Aleš Kozubík ?;Kde nájdem Aleš Kozubík ?;Kde sa nachádza Aleš Kozubík ?;Kde má kanceláriu Aleš Kozubík ?;V ktorej miestnosti má kanceláriu Aleš Kozubík ?;Aleš Kozubík miestnost: RA304
511;V akej miestnosti je Michal Lekýr ?;Kde nájdem Michal Lekýr ?;Kde sa nachádza Michal Lekýr ?;Kde má kanceláriu Michal Lekýr ?;V ktorej miestnosti má kanceláriu Michal Lekýr ?;Michal Lekýr miestnost: A220
512;V akej miestnosti je Tomáš Majer ?;Kde nájdem Tomáš Majer ?;Kde sa nachádza Tomáš Majer ?;Kde má kanceláriu Tomáš Majer ?;V ktorej miestnosti má kanceláriu Tomáš Majer ?;Tomáš Majer miestnost: RA310
513;V akej miestnosti je Peter Márton ?;Kde nájdem Peter Márton ?;Kde sa nachádza Peter Márton ?;Kde má kanceláriu Peter Márton ?;V ktorej miestnosti má kanceláriu Peter Márton ?;Peter Márton miestnost: RA102,RA219
514;V akej miestnosti je Ľubica Michálková ?;Kde nájdem Ľubica Michálková ?;Kde sa nachádza Ľubica Michálková ?;Kde má kanceláriu Ľubica Michálková ?;V ktorej miestnosti má kanceláriu Ľubica Michálková ?;Ľubica Michálková miestnost: RA225
515;V akej miestnosti je Ida Stankovianska ?;Kde nájdem Ida Stankovianska ?;Kde sa nachádza Ida Stankovianska ?;Kde má kanceláriu Ida Stankovianska ?;V ktorej miestnosti má kanceláriu Ida Stankovianska ?;Ida Stankovianska miestnost: RA308
516;V akej miestnosti je Milan Straka ?;Kde nájdem Milan Straka ?;Kde sa nachádza Milan Straka ?;Kde má kanceláriu Milan Straka ?;V ktorej miestnosti má kanceláriu Milan Straka ?;Milan Straka miestnost: RA216
517;V akej miestnosti je Peter Tarábek ?;Kde nájdem Peter Tarábek ?;Kde sa nachádza Peter Tarábek ?;Kde má kanceláriu Peter Tarábek ?;V ktorej miestnosti má kanceláriu Peter Tarábek ?;Peter Tarábek miestnost: RA223
518;V akej miestnosti je Katarína Zábovská ?;Kde nájdem Katarína Zábovská ?;Kde sa nachádza Katarína Zábovská ?;Kde má kanceláriu Katarína Zábovská ?;V ktorej miestnosti má kanceláriu Katarína Zábovská ?;Katarína Zábovská miestnost: RA308
519;V akej miestnosti je Mária Ďurišová ?;Kde nájdem Mária Ďurišová ?;Kde sa nachádza Mária Ďurišová ?;Kde má kanceláriu Mária Ďurišová ?;V ktorej miestnosti má kanceláriu Mária Ďurišová ?;Mária Ďurišová miestnost: RB204
520;V akej miestnosti je Lukáš Falát ?;Kde nájdem Lukáš Falát ?;Kde sa nachádza Lukáš Falát ?;Kde má kanceláriu Lukáš Falát ?;V ktorej miestnosti má kanceláriu Lukáš Falát ?;Lukáš Falát miestnost: RB211
521;V akej miestnosti je Zuzana Kozubíková ?;Kde nájdem Zuzana Kozubíková ?;Kde sa nachádza Zuzana Kozubíková ?;Kde má kanceláriu Zuzana Kozubíková ?;V ktorej miestnosti má kanceláriu Zuzana Kozubíková ?;Zuzana Kozubíková miestnost: RB210
522;V akej miestnosti je Alžbeta Kucharčíková ?;Kde nájdem Alžbeta Kucharčíková ?;Kde sa nachádza Alžbeta Kucharčíková ?;Kde má kanceláriu Alžbeta Kucharčíková ?;V ktorej miestnosti má kanceláriu Alžbeta Kucharčíková ?;Alžbeta Kucharčíková miestnost: RB209
523;V akej miestnosti je Dana Kušnírová ?;Kde nájdem Dana Kušnírová ?;Kde sa nachádza Dana Kušnírová ?;Kde má kanceláriu Dana Kušnírová ?;V ktorej miestnosti má kanceláriu Dana Kušnírová ?;Dana Kušnírová miestnost: RB213
524;V akej miestnosti je Eva Malichová ?;Kde nájdem Eva Malichová ?;Kde sa nachádza Eva Malichová ?;Kde má kanceláriu Eva Malichová ?;V ktorej miestnosti má kanceláriu Eva Malichová ?;Eva Malichová miestnost: RB214
